num_shots,model,run_id,accuracy
2,A,1,0.2895884839872635
2,A,2,0.326426419575368
2,A,3,0.12872885151401453
2,A,4,0.6823216284508808
2,A,5,0.2998792984001363
2,B,1,0.5546517620276532
2,B,2,0.7521964265920146
2,B,3,0.6741897181967124
2,B,4,0.6482827804910162
2,B,5,0.5538914302111848
2,C,1,0.7074107633788862
2,C,2,0.5508347075858209
2,C,3,0.6567907649554934
2,C,4,0.7178040822194008
2,C,5,0.714324124923766
4,A,1,0.7876337254832462
4,A,2,0.6365700961313023
4,A,3,0.5098264071649075
4,A,4,0.8470021417033483
4,A,5,0.6447475450532352
4,B,1,0.8506517995720695
4,B,2,1.0395037351516199
4,B,3,0.8596534785458402
4,B,4,0.8384973218329657
4,B,5,1.014986892966487
4,C,1,1.198892765032921
4,C,2,1.300446487528458
4,C,3,1.3468043426833178
4,C,4,1.098136515643341
4,C,5,1.1803066018969268
6,A,1,0.9471104016249934
6,A,2,1.0294741370937486
6,A,3,1.0612709237485922
6,A,4,0.970285643587
6,A,5,0.9261248534873839
6,B,1,1.293986791484944
6,B,2,1.4177236138769986
6,B,3,1.3881729830221785
6,B,4,1.314574579805675
6,B,5,1.292568108437575
6,C,1,1.7528965257757516
6,C,2,1.5362340989941448
6,C,3,1.735779193059255
6,C,4,1.5738677116658173
6,C,5,1.74138239617923
8,A,1,1.160189250464737
8,A,2,1.228412633707522
8,A,3,1.3603113707222036
8,A,4,1.3042541951027418
8,A,5,1.347023566001025
8,B,1,1.8878452753659622
8,B,2,1.7222142916135568
8,B,3,1.8752701936962206
8,B,4,2.0042026230797876
8,B,5,1.7111937470453598
8,C,1,2.3453138551308146
8,C,2,2.19715478971791
8,C,3,2.159531137533199
8,C,4,2.2110435817722327
8,C,5,2.1392414140776204
